date,AAPL,MSFT,TSLA
1999-11-01,0.59,28.64,
1999-11-02,0.61,28.7,
1999-11-03,0.62,28.52,
1999-11-04,0.63,28.45,
1999-11-05,0.67,28.39,
1999-11-08,0.73,27.89,
1999-11-09,0.68,27.55,
1999-11-10,0.69,27.01,
1999-11-11,0.7,27.79,
1999-11-12,0.68,27.65,
1999-11-15,0.68,26.97,
1999-11-16,0.69,27.07,
1999-11-17,0.68,26.35,
1999-11-18,0.68,26.34,
1999-11-19,0.7,26.66,
1999-11-22,0.68,27.85,
1999-11-23,0.7,27.79,
1999-11-24,0.72,28.43,
1999-11-26,0.72,28.25,
1999-11-29,0.71,27.96,
1999-11-30,0.74,28.23,
1999-12-01,0.78,28.89,
1999-12-02,0.83,29.4,
1999-12-03,0.87,29.8,
1999-12-06,0.88,29.59,
1999-12-07,0.89,28.83,
1999-12-08,0.83,28.45,
1999-12-09,0.8,28.76,
1999-12-10,0.78,29.1,
1999-12-13,0.75,29.96,
1999-12-14,0.72,30.6,
1999-12-15,0.73,33.62,
1999-12-16,0.74,35.25,
1999-12-17,0.76,35.73,
1999-12-20,0.74,34.96,
1999-12-21,0.77,35.93,
1999-12-22,0.76,36.45,
1999-12-23,0.78,36.41,
1999-12-27,0.75,36.93,
1999-12-28,0.74,36.43,
1999-12-29,0.76,36.57,
1999-12-30,0.76,36.47,
1999-12-31,0.78,36.2,
2000-01-03,0.85,36.14,
2000-01-04,0.77,34.92,
2000-01-05,0.79,35.29,
2000-01-06,0.72,34.11,
2000-01-07,0.75,34.55,
2000-01-10,0.74,34.8,
2000-01-11,0.7,33.91,
2000-01-12,0.66,32.81,
2000-01-13,0.73,33.43,
2000-01-14,0.76,34.8,
2000-01-18,0.79,35.75,
2000-01-19,0.81,33.18,
2000-01-20,0.86,32.87,
2000-01-21,0.84,32.17,
2000-01-24,0.8,31.39,
2000-01-25,0.85,31.88,
2000-01-26,0.83,30.81,
2000-01-27,0.83,30.62,
2000-01-28,0.77,30.46,
2000-01-31,0.78,30.34,
2000-02-01,0.76,31.92,
2000-02-02,0.75,31.26,
2000-02-03,0.78,32.13,
2000-02-04,0.82,33.04,
2000-02-07,0.86,33.06,
2000-02-08,0.87,34.09,
2000-02-09,0.85,32.25,
2000-02-10,0.86,32.87,
2000-02-11,0.82,30.99,
2000-02-14,0.88,30.89,
2000-02-15,0.9,30.56,
2000-02-16,0.86,30.27,
2000-02-17,0.87,30.89,
2000-02-18,0.84,29.47,
2000-02-22,0.86,29.09,
2000-02-23,0.88,29.22,
2000-02-24,0.87,29.38,
2000-02-25,0.83,28.31,
2000-02-28,0.86,28.39,
2000-02-29,0.87,27.71,
2000-03-01,0.98,28.16,
2000-03-02,0.92,28.95,
2000-03-03,0.97,29.8,
2000-03-06,0.95,28.1,
2000-03-07,0.93,28.79,
2000-03-08,0.92,29.63,
